index,comid,latitude,longitude,river,loc0,loc1,loc2,alert
1,9019828,1.2448,-78.88538,,Esmeraldas,ESMERALDAS,SAN LORENZO,R0
2,9019864,1.33217,-78.6915,,,,,R0
3,9019981,1.23703,-78.53488,,,,,R0
4,9019982,1.18486,-78.49713,,Carchi y E,ESMERALDAS,SAN LORENZO,R0
5,9020005,1.19144,-78.72321,Quebrada G,Esmeraldas,ESMERALDAS,SAN LORENZO,R0
6,9020015,1.17529,-78.7293,Rio Tululb,Esmeraldas,ESMERALDAS,SAN LORENZO,R0
7,9020032,1.1953,-78.92034,,,,,R0
8,9020123,1.16651,-78.67721,Rio Palavi,Esmeraldas,ESMERALDAS,SAN LORENZO,R0
9,9020126,1.17439,-78.44604,,Carchi,CARCHI,TULCAN,R0
10,9020173,1.15985,-78.75776,Rio Tululb,Esmeraldas,ESMERALDAS,SAN LORENZO,R0
11,9020258,1.13515,-78.68966,Rio Tululb,Esmeraldas,ESMERALDAS,SAN LORENZO,R0
12,9020260,1.1525,-78.96077,,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
13,9020312,1.10186,-78.72934,Rio Bogota,Esmeraldas,ESMERALDAS,SAN LORENZO,R0
14,9020319,1.0762,-78.8944,,Esmeraldas,ESMERALDAS,SAN LORENZO,R0
15,9020332,1.07723,-78.94368,Rio Santia,Esmeraldas,ESMERALDAS,SAN LORENZO,R0
16,9020344,1.07278,-79.21623,Estero Vai,Esmeraldas,ESMERALDAS,RIOVERDE,R0
17,9020357,1.09378,-78.80316,Rio Bogota,Esmeraldas,ESMERALDAS,SAN LORENZO,R0
18,9020411,1.0578,-78.86678,Rio Santia,Esmeraldas,ESMERALDAS,SAN LORENZO,R0
19,9020412,1.05087,-78.82326,Rio Bogota,Esmeraldas,ESMERALDAS,SAN LORENZO,R0
20,9020496,1.03151,-78.82985,Rio Santia,Esmeraldas,ESMERALDAS,SAN LORENZO,R0
21,9020508,1.04364,-79.26558,Rio Lagart,Esmeraldas,ESMERALDAS,RIOVERDE,R0
22,9020518,1.07764,-78.46847,Rio Camumb,Carchi,CARCHI,TULCAN,R0
23,9020565,1.04168,-79.0044,Rio Cayapa,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
24,9020617,1.02677,-78.7369,Rio Cachav,Esmeraldas,ESMERALDAS,SAN LORENZO,R0
25,9020680,1.01605,-79.31765,Rio Ostion,Esmeraldas,ESMERALDAS,RIOVERDE,R0
26,9020705,1.09849,-78.28897,Rio San Ju,Carchi,CARCHI,TULCAN,R0
27,9020714,0.96491,-79.04507,Rio Onzole,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
28,9020720,0.93839,-79.09217,Estero Tan,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
29,9020721,0.97627,-78.78266,Rio Uimbi,Esmeraldas,ESMERALDAS,SAN LORENZO,R0
30,9020722,0.93831,-78.1892,Rio Chical,Carchi,CARCHI,TULCAN,R0
31,9020728,1.04575,-78.33534,Rio Gualpi,Carchi,CARCHI,TULCAN,R0
32,9020731,1.00437,-79.42348,Rio Verde,Esmeraldas,ESMERALDAS,RIOVERDE,R0
33,9020756,0.96903,-79.50537,Rio Colope,Esmeraldas,ESMERALDAS,ESMERALDAS,R0
34,9020797,0.92141,-79.06538,Rio Onzole,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
35,9020803,0.929,-78.13796,Rio San Ju,Carchi,CARCHI,TULCAN,R0
36,9020835,0.90027,-79.07795,Estero Isc,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
37,9020855,0.89346,-78.06171,,,,,R0
38,9020874,0.90645,-79.40719,Rio Chonta,Esmeraldas,ESMERALDAS,RIOVERDE,R0
39,9020876,1.01815,-78.51702,Rio Mira,Carchi y E,CARCHI,TULCAN,R0
40,9020899,0.87254,-79.84117,,Esmeraldas,ESMERALDAS,ATACAMES,R0
41,9020907,0.86563,-79.84375,,,,,R0
42,9020924,0.91718,-78.98492,Rio Cayapa,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
43,9020934,0.95768,-79.36726,Rio Mate,Esmeraldas,ESMERALDAS,RIOVERDE,R0
44,9020941,0.8818,-78.64822,Rio Negro,Esmeraldas,ESMERALDAS,SAN LORENZO,R0
45,9020974,0.84087,-78.65947,Rio Lachas,Esmeraldas,ESMERALDAS,SAN LORENZO,R0
46,9020993,0.88182,-79.44003,Rio Verde,Esmeraldas,ESMERALDAS,RIOVERDE,R0
47,9020995,0.83665,-77.69482,Rio Carchi,Carchi,CARCHI,TULCAN,R0
48,9020997,0.90179,-78.80451,Rio Santia,Esmeraldas,ESMERALDAS,SAN LORENZO,R0
49,9020998,0.83577,-78.70595,Rio Negro,Esmeraldas,ESMERALDAS,SAN LORENZO,R0
50,9021002,0.84058,-78.95004,Rio Cayapa,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
51,9021003,0.8307,-78.92544,Estero Zap,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
52,9021012,0.86235,-78.08453,Rio De La,Carchi,CARCHI,TULCAN,R0
53,9021015,0.88898,-79.69132,Rio Tiaone,Esmeraldas,ESMERALDAS,ESMERALDAS,R0
54,9021041,0.82201,-77.67354,Rio Carchi,Carchi,CARCHI,TULCAN,R0
55,9021045,0.81385,-77.67135,Rio Chana,Carchi,CARCHI,TULCAN,R0
56,9021049,0.81905,-79.94319,,Esmeraldas,ESMERALDAS,ATACAMES,R0
57,9021058,0.82959,-78.97629,Rio Camaro,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
58,9021062,0.81546,-79.71674,Rio Tabiaz,Esmeraldas,ESMERALDAS,ESMERALDAS,R0
59,9021064,0.83338,-77.77057,Rio Carchi,Carchi,CARCHI,TULCAN,R0
60,9021081,0.83816,-78.44873,Rio Lita,Carchi y I,IMBABURA,IBARRA,R0
61,9021088,0.81299,-78.92971,Rio Cayapa,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
62,9021152,0.77599,-79.16176,Estero Gua,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
63,9021163,0.78493,-78.88152,Estero Zap,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
64,9021168,0.83118,-79.06623,Rio Onzole,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
65,9021173,0.79941,-79.40479,Rio Verde,Esmeraldas,ESMERALDAS,RIOVERDE,R0
66,9021174,0.78421,-79.12302,Rio Onzole,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
67,9021183,0.8209,-78.35187,Rio Mira,Carchi y I,CARCHI,MIRA,R0
68,9021184,0.78443,-78.20479,Rio Blanco,Carchi,CARCHI,ESPEJO,R0
69,9021186,0.77714,-78.4212,Rio Verde,Imbabura,IMBABURA,IBARRA,R0
70,9021191,0.75977,-79.3671,Rio Meribe,Esmeraldas,ESMERALDAS,RIOVERDE,R0
71,9021212,0.77933,-78.45377,Rio Lita,Esmeraldas,IMBABURA,SAN MIGUEL,R0
72,9021217,0.79706,-79.45555,Rio Chumun,Esmeraldas,ESMERALDAS,RIOVERDE,R0
73,9021223,0.77397,-78.92984,Rio Cayapa,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
74,9021236,0.81046,-79.85942,,Esmeraldas,ESMERALDAS,ATACAMES,R0
75,9021237,0.8028,-77.77,Rio Bobo,Carchi,CARCHI,TULCAN,R0
76,9021289,0.74368,-78.23645,Rio Mira,Carchi y I,IMBABURA,IBARRA,R0
77,9021326,0.72001,-78.21815,Rio San Je,Imbabura,IMBABURA,IBARRA,R0
78,9021329,0.7201,-78.20798,Rio Mira,Carchi,CARCHI,MIRA,R0
79,9021332,0.76679,-79.6956,Rio Tiaone,Esmeraldas,ESMERALDAS,ESMERALDAS,R0
80,9021342,0.72884,-78.4582,Rio San Fr,Imbabura,IMBABURA,SAN MIGUEL,R0
81,9021343,0.70983,-78.18586,Rio Plata,Carchi,CARCHI,MIRA,R0
82,9021352,0.73893,-79.16196,Rio Onzole,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
83,9021365,0.73991,-79.0863,Rio Pambil,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
84,9021378,0.70282,-79.69,Rio Huele,Esmeraldas,ESMERALDAS,ESMERALDAS,R0
85,9021414,0.71633,-78.94541,Rio Cayapa,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
86,9021459,0.67409,-78.95548,Rio Bravo,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
87,9021465,0.68605,-78.1937,Rio Mira,Carchi y I,CARCHI,MIRA,R0
88,9021467,0.68981,-79.72379,Rio Tiaone,Esmeraldas,ESMERALDAS,ESMERALDAS,R0
89,9021468,0.73945,-78.71242,Rio Santia,Esmeraldas,ESMERALDAS,SAN LORENZO,R0
90,9021469,0.66331,-78.6666,Rio Puniya,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
91,9021479,0.71043,-79.39546,Rio Verde,Esmeraldas,ESMERALDAS,RIOVERDE,R0
92,9021481,0.79678,-79.58406,Rio Esmera,Esmeraldas,ESMERALDAS,ESMERALDAS,R0
93,9021489,0.66358,-77.48348,,,,,R0
94,9021493,0.67175,-80.05061,Rio San Fr,Esmeraldas,ESMERALDAS,MUISNE,R0
95,9021496,0.68748,-78.85522,Rio San Mi,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
96,9021498,0.65732,-78.17513,Rio Salado,Imbabura,IMBABURA,IBARRA,R0
97,9021507,0.66826,-78.57107,Rio Puniya,Esmeraldas,ESMERALDAS,SAN LORENZO,R0
98,9021511,0.65155,-79.34273,Rio Verde,Esmeraldas,ESMERALDAS,RIOVERDE,R0
99,9021527,0.65182,-80.01703,Rio Bunche,Esmeraldas,ESMERALDAS,MUISNE,R0
100,9021534,0.64796,-77.53905,Rio Chingu,Carchi y S,CARCHI,TULCAN,R0
101,9021582,0.69154,-78.38336,Rio Lita,Imbabura,IMBABURA,SAN MIGUEL,R0
102,9021585,0.63715,-79.37147,Rio Popa,Esmeraldas,ESMERALDAS,RIOVERDE,R0
103,9021641,0.64641,-78.92764,,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
104,9021642,0.6329,-78.15154,Rio Mira,Carchi y I,CARCHI,MIRA,R0
105,9021643,0.60478,-77.76525,Rio Guasma,Carchi,CARCHI,SAN PEDRO,R0
106,9021644,0.61299,-77.73904,Rio Obispo,Carchi,CARCHI,SAN PEDRO,R0
107,9021681,0.62238,-77.48178,Rio Chingu,Sucumbios,SUCUMBIOS,SUCUMBIOS,R0
108,9021688,0.61684,-79.98473,,Esmeraldas,ESMERALDAS,MUISNE,R0
109,9021692,0.62568,-79.55811,Rio Viche,Esmeraldas,ESMERALDAS,QUININDE,R0
