index,basin,code,name,latitude,longitude,elevation,comidant,comid,river,loc1,loc2,loc3,alert
1,MIRA,H0011,MIRA EN LITA,0.875417,-78.450417,475,139515,9021183,Mira,Carchi,Mira,Jijon Y Caamano,R0
2,MIRA,H0013,BLANCO AJ MIRA,0.762482,-78.255874,890,139516,9021184,Blanco,Imbabura,Ibarra,Carolina,R0
3,MIRA,H0015,CHOTA EN PTE.CARRETERA,0.476689,-78.075339,1569,139880,9022030,Chota,Carchi,Mira,Mira,R0
4,MIRA,H0016,APAQUI AJ CHOTA,0.439196,-77.940804,1715,139931,9022137,Rumichaca,Carchi,Bolivar,San Rafael,R0
5,MIRA,H0017,APAQUI D GRUTA LA PAZ #3,0.497577,-77.849086,2323,139931,9022137,Rumichaca,Carchi,Montufar,La Paz,R0
6,MIRA,H0018,YAIL AJ APAQUI,0.492083,-77.855417,2500,139931,9022137,Rumichaca,Carchi,Montufar,La Paz,R0
7,MIRA,H0022,SAN GABRIEL EN PTE.CARRETERA,0.57557,-77.826378,2850,0,9021926,San Gabriel,Carchi,Montufar,San Gabriel,R0
8,MIRA,H0023,AMBI DJ CARIYACU,0.372917,-78.214583,2015,140198,9022305,Ambi,Imbabura,San Miguel De Urcuqui,Urcuqui,R0
9,MIRA,H0024,BLANCO EN PTE.CARRETERA,0.250832,-78.300832,2573,0,9022698,Blanco,Imbabura,Otavalo,San Jose De Quichinche,R0
10,MIRA,H0026,ITAMBI EN L.S.PABLO,0.201636,-78.209575,2648,0,9022897,Jatunyacu,Imbabura,Otavalo,San Pablo,R0
11,MIRA,H0045,APAQUI DJ MINAS,0.5368,-77.7831999999999,2650,139931,9021927,Rumichaca,Carchi,Montufar,San Gabriel,R0
12,MIRA,H0064,EL ANGEL EN PTE.AYORA,0.626861,-77.950417,2850,139881,9022031,El Angel,Carchi,Espejo,El Angel,R0
13,CARCHI,H0091,GRANDE AJ JATIVA,0.804167,-77.8461109999999,3120,0,9021064,Grande,Carchi,Tulcan,Tufino,R0
14,CARCHI,H0093,BOBO EN PLTA.ELEC.TULCAN,0.81375,-77.749013,2880,0,9021237,Bobo,Carchi,Tulcan,Tulcan,R0
15,ESMERALDAS,H0136,ALAMBI EN CHURUPAMBA,0.150418,-78.680417,920,140495,9023111,Alambi,Pichincha,Distrito Metropolitano De Quito,Nanegal,R0
16,ESMERALDAS,H0138,BLANCO D.J. TOACHI(PTE.UNICOOP),-0.087924,-79.280403,284,140661,9023841,Blanco,Santo Domingo,Santo Domingo,Valle Hermoso,R0
17,ESMERALDAS,H0139,BLANCO EN LOS BANCOS,0.007088,-78.9047879999999,795,140641,9023794,Blanco,Pichincha,San Miguel De Los Bancos,San Miguel De Los Bancos,R0
18,ESMERALDAS,H0141,CANAL TABACUNDO,0.149722,-78.0233329999999,0,0,9023321,Tabacundo,Pichincha,Cayambe,Olmedo (Pecillo),R0
19,ESMERALDAS,H0143,GRANOBLES AJ GUACHALA,0.014166,-78.1729169999999,2750,140514,9023477,Granobles,Pichincha,Pedro Moncayo,Tabacundo,R0
20,ESMERALDAS,H0144,GUACHALA AJ GRANOBLES,0.009601,-78.1582839999999,2740,140579,9023553,Guachala,Pichincha,Cayambe,Cayambe,R0
21,ESMERALDAS,H0145,GUAYLLABAMBA DJ CUBI,0.092975,-78.429573,1540,140481,9023398,Guayllabamba,Pichincha,Distrito Metropolitano De Quito,Puellaro,R0
22,ESMERALDAS,H0146,GUAYLLABAMBA DJ ALAMBI,0.235415,-78.743751,625,140257,9022789,Guayllabamba,Imbabura,Cotacachi,Garcia Moreno,R0
23,ESMERALDAS,H0147,GUAYLLABAMBA DJ PACHIJAL,0.220417,-78.999583,410,140256,9022868,Guayllabamba,Imbabura,Cotacachi,Garcia Moreno,R0
24,ESMERALDAS,H0148,GUAYLLABAMBA DJ PISQUE,0.013261,-78.40625,1690,140577,9023624,Guayllabamba,Pichincha,Distrito Metropolitano De Quito,San Antonio,R0
25,ESMERALDAS,H0149,GUAYLLABAMBA EN PTE.CHACAPATA,0.180417,-78.6404169999999,860,140360,9023154,Guayllabamba,Pichincha,Distrito Metropolitano De Quito,San Jose De Minas,R0
26,ESMERALDAS,H0150,INTAG DJ PAMPLONA,0.220005,-78.621661,1000,140246,9022801,Intag,Imbabura,Otavalo,Selva Alegre,R0
27,ESMERALDAS,H0153,LELIA DJ CRISTAL,-0.37264,-79.031693,860,0,9024554,Lelia,Santo Domingo,Santo Domingo,Alluriquin,R0
28,ESMERALDAS,H0155,PILATON DJ SACALZON(EN LA TOMA),-0.362917,-78.835417,1130,141132,9024662,Pilaton,Pichincha,Mejia,Manuel Cornejo Astorga,R0
29,ESMERALDAS,H0156,PILATON AJ TOACHI,-0.312917,-78.932917,890,141132,9024599,Pilaton,Pichincha,Mejia,Manuel Cornejo Astorga (Tandapi),R0
30,ESMERALDAS,H0158,PITA AJ SALTO,-0.571085,-78.4262499999999,3550,141304,9025440,Pita,Pichincha,Mejia,Machachi,R0
31,ESMERALDAS,H0159,SAN PEDRO EN MACHACHI,-0.460417,-78.5495829999999,2680,141300,9025406,San Pedro,Pichincha,Mejia,Machachi,R0
32,ESMERALDAS,H0160,SARAPULLO AJ TOACHI,-0.393892,-78.8952749999999,1020,141264,9025212,Sarapullo,Pichincha,Mejia,Manuel Cornejo Astorga,R0
33,ESMERALDAS,H0161,TOACHI AJ PILATON,-0.318166,-78.9537499999999,820,141024,9024683,Toachi,Santo Domingo De Los Tsachilas,Santo Domingo,Alluriquin,R0
34,ESMERALDAS,H0163,TOACHI DJ SARAPULLO,-0.364041,-78.910708,950,141024,9024683,Toachi,Pichincha,Mejia,Manuel Cornejo Astorga,R0
35,ESMERALDAS,H0166,TOACHI EN LAS PAMPAS,-0.440417,-78.95125,1110,141451,9024920,Toachi,Cotopaxi,Sigchos,Las Pampas,R0
36,ESMERALDAS,H0167,TOACHI EN S.D.DE LOS COLORADOS,-0.240417,-79.13875,420,140957,9024473,Toachi,Santo Domingo De Los Tsachilas,Santo Domingo,Santo Domingo De Los Colorados,R0
37,ESMERALDAS,H0168,ESMERALDAS DJ SADE,0.531547,-79.423214,51,139875,9022024,Esmeraldas,Esmeraldas,Quininde,Chura,R0
38,ESMERALDAS,H0170,GUAYLLABAMBA AJ BLANCO,0.44236,-79.4001399999999,90,140144,9022479,Guayllabamba,Esmeraldas,Quininde,Malimpia,R0
39,ESMERALDAS,H0172,TEAONE DJ TABIAZO,0.843128,-79.703128,16,139584,9021015,Tiaone,Esmeraldas,Esmeraldas,Tabiazo,R0
40,ESMERALDAS,H0173,TEAONE AJ ESMERALDAS,0.85875,-79.7054169999999,9,139584,9021015,Tiaone,Esmeraldas,Esmeraldas,Vuelta Larga,R0
41,ESMERALDAS,H0177,QUININDE EN QUININDE,0.329177,-79.4770829999999,110,140127,9022535,Quininde,Esmeraldas,Quininde,Rosa Zarate,R0
42,ESMERALDAS,H0188,PILATON D.J. CHITOA (EN LA ESPERIE),-0.34875,-78.854583,900,141132,9024599,Pilaton,Santo Domingo De Los Tsachilas,Santo Domingo,Alluriquin,R0
43,JAMA,H0206,JAMA EN JAMA,-0.214583298925,-80.2587398062999,6,140814,9024186,Jama,Manabi,Jama,Jama,R0
45,ESMERALDAS,H0216,BUA AJ QUININDE,-0.022083,-79.6037419999999,0,140671,9023956,Bua,Esmeraldas,Quininde,Rosa Zarate (Quininde),R0
46,CHONE,H0229,CARRIZAL EN CALCETA,-0.845298,-80.1613689999999,47,141756,9026308,Carrizal,Manabi,Bolivar,Calceta,R0
47,CHONE,H0230,GARRAPATA AJ CHONE,-0.664134,-80.04375,50,0,9025601,Garrapata,Manabi,Chone,Chone,R0
48,CHONE,H0232,MOSQUITO AJ GRANDE,-0.667917,-80.025417,55,0,9025573,Mosquito,Manabi,Chone,Chone,R0
49,CHONE,H0233,JUNIN DJ EST.PALMAR,-0.904583,-80.182083,20,141811,9026436,Mosca,Manabi,Junin,Junin,R0
50,CHONE,H0235,CHONE EN CHONE,-0.694701,-80.0944659999999,24,141493,9025666,Chone,Manabi,Pedernales,10 De Agosto,R0
51,PORTOVIEJO,H0266,PORTOVIEJO EN H.VASQUEZ (GUARUMO),-1.111272,-80.225403,100,142234,9027387,Portoviejo,Manabi,Santa Ana,Honorato Vasquez,R0
52,PORTOVIEJO,H0267,PORTOVIEJO EN STA.ANA,-1.20906,-80.3651069999999,62,142234,9027406,Portoviejo,Manabi,Santa Ana,Santa Ana De Vuelta Larga,R0
53,PORTOVIEJO,H0272,CHICO AJ PORTOVIEJO,-0.97375,-80.4229169999999,35,142012,9026872,Chico,Manabi,Portoviejo,Riochico (Rio Chico),R0
54,PORTOVIEJO,H0273,LODANA EN PTE.CARRETERA,-1.180417,-80.387083,70,142243,9027415,Lodana,Manabi,Santa Ana,Santa Ana De Vuelta Larga,R0
55,GUAYAS,H0326,BABA DJ TOACHI-DCP,-0.669583,-79.3862429999999,125,141790,9026380,Baba,Los Rios,Valencia,Valencia,R0
56,GUAYAS,H0327,CAJONES EN KM.18 1/2,-0.245556,-79.3252779999999,600,0,9024868,Cajones,Santo Domingo De Los Tsachilas,Santo Domingo,Santo Domingo De Los Colorados,R0
57,GUAYAS,H0329,PILALO EN LA ESPERANZA,-0.887917,-79.0687499999999,920,141851,9026419,Pilalo,Cotopaxi,Sigchos,Chugchillan,R0
58,GUAYAS,H0330,CHANCHAN EN KM.90+180,-2.22125,-79.134583,326,143969,9031392,Chanchan,Chimborazo,Cumanda,Cumanda,R0
59,GUAYAS,H0331,CHIMBO EN SAN LORENZO,-1.666635,-79.0054169999999,2419,143363,9029083,Chimbo,Bolivar,Chimbo,San Jose De Chimbo,R0
60,GUAYAS,H0332,CANAL CHIMBO EN SAN LORENZO,-1.667083,-79.0054169999999,2419,143363,9029083,Chimbo,Bolivar,Guaranda,San Lorenzo,R0
61,GUAYAS,H0333,SAN LORENZO EN SAN LORENZO,-1.68875,-78.999566,2464,0,9029110,San Lorenzo,Bolivar,Guaranda,San Lorenzo,R0
62,GUAYAS,H0334,DE CHIMA AJ LAS PESQ.(SICOTO AJ),-1.856873,-79.070419,2100,143399,9030145,De la China,Bolivar,San Miguel,San Pablo (San Pablo De Atenas),R0
63,GUAYAS,H0335,LAS PESQUERIAS AJ DE CHIMA,-1.869948,-79.076615,2070,143399,9030145,De la China,Bolivar,San Miguel,San Pablo,R0
64,GUAYAS,H0337,PANGOR AJ CHIMBO,-1.932814,-79.001975,1480,143371,9030052,Pangor,Chimborazo,Colta,Juan De Velasco (Pangor),R0
65,GUAYAS,H0338,CHIMBO DJ PANGOR,-1.938068,-79.008639,1452,143592,9030564,Chimbo,Bolivar,Chillanes,Chillanes,R0
66,GUAYAS,H0340,CHIMBO EN BUCAY,-2.202919,-79.1380709999999,297,143824,9031012,Chimbo,Chimborazo,Cumanda,Cumanda,R0
67,GUAYAS,H0343,ECHEANDIA EN ECHEANDIA,-1.42875,-79.28125,425,142627,9028271,Soloma,Bolivar,Echeandia,Echeandia,R0
68,GUAYAS,H0344,UMBE EN QUINSALOMA,-1.209583,-79.309583,0,142363,9027713,Umbe,Bolivar,Las Naves,Las Naves,R0
69,GUAYAS,H0345,ZAPOTAL EN CATARAMA(CATARAMA EN),-1.57125,-79.44875,40,142843,9028791,Las Piedras,Los Rios,Urdaneta,Catarama,R0
70,GUAYAS,H0346,ZAPOTAL EN LECHUGAL,-1.398333,-79.429167,40,142588,9028108,Zapotal,Los Rios,Ventanas,Los Angeles,R0
71,GUAYAS,H0347,QUEVEDO EN QUEVEDO,-1.007915,-79.4570709999999,125,142509,9027991,Quevedo,Los Rios,Quevedo,Quevedo,R0
72,GUAYAS,H0348,VINCES EN VINCES-DCP,-1.547083,-79.75,41,143295,9029256,Vinces,Los Rios,Vinces,Vinces,R0
73,GUAYAS,H0351,DAULE EN PICHINCHA,-1.04875,-79.8170829999999,70,142310,9026890,Daule,Manabi,Pichincha,Pichincha,R0
74,GUAYAS,H0352,MACUL EN PTE.CARRETERA,-1.06625,-79.6162499999999,54,142462,9027907,Macul,Guayas,Empalme,Velasco Ibarra (Cab. El Empalme),R0
