index,basin,code,name,latitude,longitude,elevation,comidant,comid,river,loc1,loc2,loc3,alert
1,MIRA,H0011,MIRA EN LITA,0.875417,-78.450417,475,139515,9021183,RIO MIRA,CARCHI,MIRA,JIJON Y CAAMANO,R0
2,MIRA,H0013,BLANCO AJ MIRA,0.762482,-78.255874,890,139516,9021184,RIO BLANCO,IMBABURA,IBARRA,CAROLINA,R0
3,MIRA,H0015,CHOTA EN PTE.CARRETERA,0.476689,-78.075339,1569,139880,9022030,RIO CHOTA,CARCHI,MIRA,MIRA,R0
4,MIRA,H0016,APAQUI AJ CHOTA,0.439196,-77.940804,1715,139931,9022137,RIO RUMICHACA,CARCHI,BOLIVAR,SAN RAFAEL,R0
5,MIRA,H0017,APAQUI D GRUTA LA PAZ #3,0.497577,-77.849086,2323,139931,9022137,RIO RUMICHACA,CARCHI,MONTUFAR,LA PAZ,R0
6,MIRA,H0018,YAIL AJ APAQUI,0.492083,-77.855417,2500,139931,9022137,RIO RUMICHACA,CARCHI,MONTUFAR,LA PAZ,R0
7,MIRA,H0022,SAN GABRIEL EN PTE.CARRETERA,0.57557,-77.826378,2850,0,9021926,,CARCHI,MONTUFAR,SAN GABRIEL,R0
8,MIRA,H0023,AMBI DJ CARIYACU,0.372917,-78.214583,2015,140198,9022305,RIO AMBI,IMBABURA,SAN MIGUEL DE URCUQUI,URCUQUI,R0
9,MIRA,H0024,BLANCO EN PTE.CARRETERA,0.250832,-78.300832,2573,0,9022698,RIO BLANCO,IMBABURA,OTAVALO,SAN JOSE DE QUICHINCHE,R0
10,MIRA,H0026,ITAMBI EN L.S.PABLO,0.201636,-78.209575,2648,0,9022897,RIO JATUNYACU,IMBABURA,OTAVALO,SAN PABLO,R0
11,MIRA,H0045,APAQUI DJ MINAS,0.5368,-77.7832,2650,139931,9021927,RIO RUMICHACA,CARCHI,MONTUFAR,SAN GABRIEL,R0
12,MIRA,H0064,EL ANGEL EN PTE.AYORA,0.626861,-77.950417,2850,139881,9022031,RIO EL ANGEL,CARCHI,ESPEJO,EL ANGEL,R0
13,CARCHI,H0091,GRANDE AJ JATIVA,0.804167,-77.846111,3120,0,9021064,,CARCHI,TULCAN,TUFINO,R0
14,CARCHI,H0093,BOBO EN PLTA.ELEC.TULCAN,0.81375,-77.749013,2880,0,9021237,RIO BOBO,CARCHI,TULCAN,TULCAN,R0
15,ESMERALDAS,H0136,ALAMBI EN CHURUPAMBA,0.150418,-78.680417,920,140495,9023111,RIO ALAMBI,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,NANEGAL,R0
16,ESMERALDAS,H0138,BLANCO D.J. TOACHI(PTE.UNICOOP),-0.087924,-79.280403,284,140661,9023841,RIO BLANCO,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO DE LOS TSACHILAS,VALLE HERMOSO,R0
17,ESMERALDAS,H0139,BLANCO EN LOS BANCOS,0.007088,-78.904788,795,140641,9023794,RIO BLANCO,PICHINCHA,SAN MIGUEL DE LOS BANCOS,SAN MIGUEL DE LOS BANCOS,R0
18,ESMERALDAS,H0141,CANAL TABACUNDO,0.149722,-78.023333,0,0,9023321,,PICHINCHA,CAYAMBE,OLMEDO (PECILLO),R0
19,ESMERALDAS,H0143,GRANOBLES AJ GUACHALA,0.014166,-78.172917,2750,140514,9023477,RIO GRANOBLES,PICHINCHA,PEDRO MONCAYO,TABACUNDO,R0
20,ESMERALDAS,H0144,GUACHALA AJ GRANOBLES,0.009601,-78.158284,2740,140579,9023553,RIO GUACHALA,PICHINCHA,CAYAMBE,CAYAMBE,R0
21,ESMERALDAS,H0145,GUAYLLABAMBA DJ CUBI,0.092975,-78.429573,1540,140481,9023398,RIO GUAYLLABAMBA,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,PUELLARO,R0
22,ESMERALDAS,H0146,GUAYLLABAMBA DJ ALAMBI,0.235415,-78.743751,625,140257,9022789,RIO GUAYLLABAMBA,IMBABURA,COTACACHI,GARCIA MORENO,R0
23,ESMERALDAS,H0147,GUAYLLABAMBA DJ PACHIJAL,0.220417,-78.999583,410,140256,9022868,RIO GUAYLLABAMBA,IMBABURA,COTACACHI,GARCIA MORENO,R0
24,ESMERALDAS,H0148,GUAYLLABAMBA DJ PISQUE,0.013261,-78.40625,1690,140577,9023624,RIO GUAYLLABAMBA,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,SAN ANTONIO,R0
25,ESMERALDAS,H0149,GUAYLLABAMBA EN PTE.CHACAPATA,0.180417,-78.640417,860,140360,9023154,RIO GUAYLLABAMBA,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,SAN JOSE DE MINAS,R0
26,ESMERALDAS,H0150,INTAG DJ PAMPLONA,0.220005,-78.621661,1000,140246,9022801,RIO INTAG,IMBABURA,OTAVALO,SELVA ALEGRE,R0
27,ESMERALDAS,H0151,INTAG EN BALZAPAMBA,0.335807,-78.535026,0,140246,9022801,RIO INTAG,IMBABURA,COTACACHI,VACAS GALINDO,R0
28,ESMERALDAS,H0152,LA CHIMBA EN OLMEDO,0.154452,-77.993079,3096,0,9023321,,PICHINCHA,CAYAMBE,OLMEDO (PECILLO),R0
29,ESMERALDAS,H0153,LELIA DJ CRISTAL,-0.37264,-79.031693,860,0,9024554,RIO LELIA,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO DE LOS TSACHILAS,ALLURIQUIN,R0
30,ESMERALDAS,H0155,PILATON DJ SACALZON(EN LA TOMA),-0.362917,-78.835417,1130,141132,9024662,RIO PILATON,PICHINCHA,MEJIA,MANUEL CORNEJO ASTORGA,R0
31,ESMERALDAS,H0156,PILATON AJ TOACHI,-0.312917,-78.932917,890,141132,9024599,RIO PILATON,PICHINCHA,MEJIA,MANUEL CORNEJO ASTORGA (TANDAPI),R0
32,ESMERALDAS,H0158,PITA AJ SALTO,-0.571085,-78.42625,3550,141304,9025440,RIO PITA,PICHINCHA,MEJIA,MACHACHI,R0
33,ESMERALDAS,H0159,SAN PEDRO EN MACHACHI,-0.460417,-78.549583,2680,141300,9025406,RIO SAN PEDRO,PICHINCHA,MEJIA,MACHACHI,R0
34,ESMERALDAS,H0160,SARAPULLO AJ TOACHI,-0.393892,-78.895275,1020,141264,9025212,RIO SARAPULLO,PICHINCHA,MEJIA,MANUEL CORNEJO ASTORGA,R0
35,ESMERALDAS,H0161,TOACHI AJ PILATON,-0.318166,-78.95375,820,141024,9024683,RIO TOACHI,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,ALLURIQUIN,R0
36,ESMERALDAS,H0163,TOACHI DJ SARAPULLO,-0.364041,-78.910708,950,141024,9024683,RIO TOACHI,PICHINCHA,MEJIA,MANUEL CORNEJO ASTORGA,R0
37,ESMERALDAS,H0165,TOACHI AJ ALLURIQUIN,-0.318333,-78.9875,850,140957,9024505,RIO TOACHI,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO DE LOS TSACHILAS,ALLURIQUIN,R0
38,ESMERALDAS,H0166,TOACHI EN LAS PAMPAS,-0.440417,-78.95125,1110,141451,9024920,RIO NEGRO,COTOPAXI,SIGCHOS,LAS PAMPAS,R0
39,ESMERALDAS,H0167,TOACHI EN S.D.DE LOS COLORADOS,-0.240417,-79.13875,420,140957,9024473,RIO TOACHI,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,SANTO DOMINGO DE LOS COLORADOS,R0
40,ESMERALDAS,H0168,ESMERALDAS DJ SADE,0.531547,-79.423214,51,139875,9022024,RIO ESMERALDAS,ESMERALDAS,QUININDE,CHURA,R0
41,ESMERALDAS,H0170,GUAYLLABAMBA AJ BLANCO,0.44236,-79.40014,90,140144,9022479,RIO GUAYLLABAMBA,ESMERALDAS,QUININDE,MALIMPIA,R0
42,ESMERALDAS,H0172,TEAONE DJ TABIAZO,0.843128,-79.703128,16,139584,9021015,RIO TIAONE,ESMERALDAS,ESMERALDAS,TABIAZO,R0
43,ESMERALDAS,H0173,TEAONE AJ ESMERALDAS,0.85875,-79.705417,9,139584,9021015,RIO TIAONE,ESMERALDAS,ESMERALDAS,VUELTA LARGA,R0
44,ESMERALDAS,H0177,QUININDE EN QUININDE,0.329177,-79.477083,110,140127,9022535,RIO QUININDE,ESMERALDAS,QUININDE,ROSA ZARATE,R0
45,ESMERALDAS,H0188,PILATON D.J. CHITOA (EN LA ESPERIE),-0.34875,-78.854583,900,141132,9024599,RIO PILATON,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,ALLURIQUIN,R0
46,JAMA,H0206,JAMA EN JAMA,-0.214583,-80.25874,6,140814,9024186,RIO JAMA,MANABI,JAMA,JAMA,R0
47,JAMA,H0210,BRICENO EN BOTADERO,-0.525417,-80.351164,15,141278,9025255,RIO BRICENO,MANABI,SAN VICENTE,SAN VICENTE,R0
48,ESMERALDAS,H0216,BUA AJ QUININDE,-0.022083,-79.603742,0,140671,9023956,RIO BUA,ESMERALDAS,QUININDE,ROSA ZARATE (QUININDE),R0
