datetime	caudal
2013-03-05	17.2750107
2013-03-06	15.5784075
2013-03-07	13.8722828
2013-03-08	13.2311675
2013-03-09	13.0294732
2013-03-10	13.6525723
2013-03-11	12.8337843
2013-03-12	12.28275
2013-03-13	12.1110827
2013-03-14	20.9469548
2013-03-15	16.3996848
2013-03-16	21.6926512
2013-03-17	28.0510627
2013-03-18	25.7814572
2013-03-19	21.6926512
2013-03-20	20.22528
2013-03-21	17.5787968
2013-03-22	15.3166592
2013-03-23	20.22528
2013-03-24	24.9156528
2013-03-25	22.0745075
2013-03-26	18.2043852
2013-03-27	22.4623692
2013-03-28	17.2750107
2013-03-29	16.1199203
2013-03-30	17.2750107
2013-03-31	18.5261875
2013-04-01	17.5787968
2013-04-02	16.3996848
2013-04-03	16.97723
2013-04-04	15.3166592
2013-04-05	15.3166592
2013-04-06	14.0979987
2013-04-07	13.8722828
2013-04-08	13.8722828
2013-04-09	13.6525723
2013-04-10	13.0294732
2013-04-11	12.4604227
2013-04-12	11.9454208
2013-04-13	11.7857643
2013-04-14	11.7857643
2013-04-15	11.7857643
2013-04-16	11.7857643
2013-04-17	11.7857643
2013-04-18	12.1110827
2013-04-19	14.32972
2013-04-20	26.2233675
2013-04-21	15.3166592
2013-04-22	14.5674467
2013-04-23	13.8722828
2013-04-24	12.6441008
2013-04-25	11.9454208
2013-04-26	11.4844675
2013-04-27	10.9539387
2013-04-28	10.7247067
2013-04-29	10.6190988
2013-04-30	10.7247067
2013-05-01	10.5194963
2013-05-02	10.9539387
2013-05-03	10.9539387
2013-05-04	10.9539387
2013-05-05	14.0979987
2013-05-06	24.9156528
2013-05-07	22.8562363
2013-05-08	15.0609163
2013-05-09	13.4388672
2013-05-10	13.0294732
2013-05-11	12.6441008
2013-05-12	13.6525723
2013-05-13	11.9454208
2013-05-14	11.7857643
2013-05-15	11.7857643
2013-05-16	12.1110827
2013-05-17	13.6525723
2013-05-18	12.8337843
2013-05-19	12.4604227
2013-05-20	18.5261875
2013-05-21	36.8907312
2013-05-22	24.4917587
2013-05-23	18.2043852
2013-05-24	15.5784075
2013-05-25	14.32972
2013-05-26	14.32972
2013-05-27	18.5261875
2013-05-28	15.0609163
2013-05-29	13.8722828
2013-05-30	21.3168003
2013-05-31	35.2046763
2013-06-01	49.5123392
2013-06-02	32.5146928
2013-06-03	24.07387
2013-06-04	19.8734507
2013-06-05	19.8734507
2013-06-06	17.5787968
2013-06-07	17.5787968
2013-06-08	21.6926512
2013-06-09	27.1252043
2013-06-10	47.4659603
2013-06-11	49.5123392
2013-06-12	41.0350483
2013-06-13	34.1106667
2013-06-14	26.6712832
2013-06-15	24.07387
2013-06-16	20.22528
2013-06-17	18.2043852
2013-06-18	16.97723
2013-06-19	17.5787968
2013-06-20	16.97723
2013-06-21	16.3996848
2013-06-22	15.5784075
2013-06-23	15.0609163
2013-06-24	15.0609163
2013-06-25	14.0979987
2013-06-26	13.4388672
2013-06-27	13.0294732
2013-06-28	12.8337843
2013-06-29	12.4604227
2013-06-30	13.4388672
2013-07-01	18.2043852
2013-07-02	13.8722828
2013-07-03	14.32972
2013-07-04	16.1199203
2013-07-05	14.32972
2013-07-06	13.0294732
2013-07-07	12.8337843
2013-07-08	16.97723
2013-07-09	36.3227075
2013-07-10	29.4848908
2013-07-11	21.3168003
2013-07-12	18.2043852
2013-07-13	17.2750107
2013-07-14	17.2750107
2013-07-15	16.3996848
2013-07-16	18.2043852
2013-07-17	26.6712832
2013-07-18	31.9947123
2013-07-19	27.5851308
2013-07-20	22.4623692
2013-07-21	21.6926512
2013-07-22	20.9469548
2013-07-23	18.2043852
2013-07-24	16.97723
2013-07-25	15.8461612
2013-07-26	15.5784075
2013-07-27	14.8111788
2013-07-28	13.8722828
2013-07-29	14.0979987
2013-07-30	15.0609163
2013-07-31	19.1878083
2013-08-01	24.4917587
2013-08-02	24.4917587
2013-08-03	24.4917587
2013-08-04	23.6619867
2013-08-05	18.5261875
2013-08-06	21.3168003
2013-08-07	27.1252043
2013-08-08	25.7814572
2013-08-09	21.3168003
2013-08-10	17.8885883
2013-08-11	17.8885883
2013-08-12	21.6926512
2013-08-13	16.3996848
2013-08-14	16.1199203
2013-08-15	18.2043852
2013-08-16	16.3996848
2013-08-17	15.3166592
2013-08-18	15.0609163
2013-08-19	14.5674467
2013-08-20	14.5674467
2013-08-21	15.0609163
2013-08-22	15.3166592
2013-08-23	14.32972
2013-08-24	13.8722828
2013-08-25	14.0979987
2013-08-26	13.8722828
2013-08-27	14.32972
2013-08-28	14.5674467
2013-08-29	15.0609163
2013-08-30	13.4388672
2013-08-31	12.6441008
2013-09-01	12.6441008
2013-09-02	12.6441008
2013-09-03	12.1110827
2013-09-04	11.9454208
2013-09-05	11.7857643
2013-09-06	12.1110827
2013-09-07	11.4844675
2013-09-08	11.4844675
2013-09-09	12.4604227
2013-09-10	15.3166592
2013-09-11	16.6854547
2013-09-12	13.6525723
2013-09-13	12.8337843
2013-09-14	12.1110827
2013-09-15	11.6321132
2013-09-16	11.9454208
2013-09-17	11.9454208
2013-09-18	11.6321132
2013-09-19	12.4604227
2013-09-20	13.4388672
2013-09-21	11.7857643
2013-09-22	11.2071923
2013-09-23	11.2071923
2013-09-24	11.2071923
2013-09-25	11.3428272
2013-09-26	11.2071923
2013-09-27	11.2071923
2013-09-28	10.83632
2013-09-29	10.7247067
2013-09-30	10.7247067
2013-10-01	10.83632
2013-10-02	11.4844675
2013-10-03	10.83632
2013-10-04	10.7247067
2013-10-05	10.4258992
2013-10-06	10.5194963
2013-10-07	10.83632
2013-10-08	10.6190988
2013-10-09	10.5194963
2013-10-10	10.5194963
2013-10-11	10.4258992
2013-10-12	11.2071923
2013-10-13	14.0979987
2013-10-14	20.22528
2013-10-15	33.0406787
2013-10-16	31.9947123
2013-10-17	24.07387
2013-10-18	28.523
2013-10-19	18.5261875
2013-10-20	26.6712832
2013-10-21	20.22528
2013-10-22	23.2561088
2013-10-23	24.07387
2013-10-24	20.5831147
2013-10-25	19.8734507
2013-10-26	15.5784075
2013-10-27	15.0609163
2013-10-28	16.97723
2013-10-29	15.3166592
2013-10-30	16.6854547
2013-10-31	16.97723
2013-11-01	13.6525723
2013-11-02	12.6441008
2013-11-03	12.28275
2013-11-04	11.9454208
2013-11-05	12.28275
2013-11-06	11.7857643
2013-11-07	11.4844675
2013-11-08	11.0775628
2013-11-09	10.83632
2013-11-10	10.6190988
2013-11-11	10.5194963
2013-11-12	10.9539387
2013-11-13	10.7247067
2013-11-14	10.83632
2013-11-15	11.0775628
2013-11-16	10.7247067
2013-11-17	10.5194963
2013-11-18	12.1110827
2013-11-19	11.3428272
2013-11-20	11.0775628
2013-11-21	10.6190988
2013-11-22	10.4258992
2013-11-23	11.0775628
2013-11-24	14.0979987
2013-11-25	11.7857643
2013-11-26	11.2071923
2013-11-27	10.6190988
2013-11-28	10.3383075
2013-11-29	10.2567212
2013-11-30	10.1811403
2013-12-01	10.1811403
2013-12-02	10.2567212
2013-12-03	10.4258992
2013-12-04	10.2567212
2013-12-05	11.7857643
2013-12-06	10.7247067
2013-12-07	10.5194963
2013-12-08	13.2311675
2013-12-09	12.8337843
2013-12-10	13.8722828
2013-12-11	11.9454208
2013-12-12	11.0775628
2013-12-13	10.7247067
2013-12-14	11.9454208
2013-12-15	10.9539387
2013-12-16	10.6190988
2013-12-17	10.6190988
2013-12-18	13.0294732
2013-12-19	13.4388672
2013-12-20	11.6321132
2013-12-21	11.2071923
2013-12-22	11.0775628
2013-12-23	12.1110827
2013-12-24	10.7247067
2013-12-25	10.3383075
2013-12-26	10.4258992
2013-12-27	10.3383075
2013-12-28	10.2567212
2013-12-29	10.2567212
2013-12-30	10.3383075
2013-12-31	10.3383075
2014-01-01	10.1811403
2014-01-02	10.1811403
2014-01-03	10.1115648
2014-01-04	10.1115648
2014-01-05	10.2567212
2014-01-06	16.1199203
2014-01-07	20.5831147
2014-01-08	24.4917587
2014-01-09	20.9469548
2014-01-10	17.8885883
2014-01-11	16.3996848
2014-01-12	19.5276268
2014-01-13	15.3166592
2014-01-14	13.8722828
2014-01-15	13.2311675
2014-01-16	12.4604227
2014-01-17	12.28275
2014-01-18	12.1110827
2014-01-19	12.4604227
2014-01-20	12.28275
2014-01-21	12.1110827
2014-01-22	12.6441008
2014-01-23	12.28275
2014-01-24	11.6321132
2014-01-25	12.1110827
2014-01-26	12.4604227
2014-01-27	12.6441008
2014-01-28	13.0294732
2014-01-29	12.28275
2014-01-30	11.9454208
2014-01-31	12.28275
2014-02-01	11.7857643
2014-02-02	11.4844675
2014-02-03	10.9539387
2014-02-04	10.83632
2014-02-05	11.7857643
2014-02-06	11.3428272
2014-02-07	10.7247067
2014-02-08	10.5194963
2014-02-09	10.4258992
2014-02-10	10.3383075
2014-02-11	10.1811403
2014-02-12	10.1811403
2014-02-13	10.1811403
2014-02-14	12.28275
2014-02-15	19.1878083
2014-02-16	12.8337843
2014-02-17	13.2311675
2014-02-18	14.32972
2014-02-19	11.6321132
2014-02-20	11.3428272
2014-02-21	11.2071923
2014-02-22	11.3428272
2014-02-23	10.9539387
2014-02-24	11.0775628
2014-02-25	10.9539387
2014-02-26	10.7247067
2014-02-27	11.2071923
2014-02-28	11.6321132
2014-03-01	11.4844675
2014-03-02	14.8111788
2014-03-03	20.9469548
2014-03-04	16.3996848
2014-03-05	18.5261875
2014-03-06	17.8885883
2014-03-07	19.5276268
2014-03-08	17.8885883
2014-03-09	36.3227075
2014-03-10	26.6712832
2014-03-11	20.5831147
2014-03-12	17.8885883
2014-03-13	17.8885883
2014-03-14	15.5784075
2014-03-15	18.2043852
2014-03-16	21.3168003
2014-03-17	22.8562363
2014-03-18	29.9748443
2014-03-19	24.07387
2014-03-20	21.6926512
2014-03-21	20.9469548
2014-03-22	21.6926512
2014-03-23	21.3168003
2014-03-24	26.2233675
2014-03-25	25.3455523
2014-03-26	23.6619867
2014-03-27	27.5851308
2014-03-28	22.4623692
2014-03-29	19.8734507
2014-03-30	24.07387
2014-03-31	24.9156528
2014-04-01	21.3168003
2014-04-02	17.5787968
2014-04-03	16.3996848
2014-04-04	19.1878083
2014-04-05	15.8461612
2014-04-06	18.2043852
2014-04-07	16.1199203
2014-04-08	19.1878083
2014-04-09	22.0745075
2014-04-10	17.2750107
2014-04-11	15.8461612
2014-04-12	14.5674467
2014-04-13	13.6525723
2014-04-14	13.4388672
2014-04-15	13.4388672
2014-04-16	19.8734507
2014-04-17	16.1199203
2014-04-18	18.8539952
2014-04-19	45.47363
2014-04-20	24.9156528
2014-04-21	19.8734507
2014-04-22	19.1878083
2014-04-23	18.2043852
2014-04-24	17.8885883
2014-04-25	22.8562363
2014-04-26	20.22528
2014-04-27	47.4659603
2014-04-28	30.9727675
2014-04-29	39.8209307
2014-04-30	29.4848908
2014-05-01	26.2233675
2014-05-02	26.6712832
2014-05-03	24.4917587
2014-05-04	22.4623692
2014-05-05	19.8734507
2014-05-06	18.2043852
2014-05-07	23.2561088
2014-05-08	47.4659603
2014-05-09	44.8215307
2014-05-10	62.1294043
2014-05-11	63.7278675
2014-05-12	80.1113452
2014-05-13	45.47363
2014-05-14	31.4807372
2014-05-15	33.0406787
2014-05-16	26.2233675
2014-05-17	25.7814572
2014-05-18	23.6619867
2014-05-19	27.1252043
2014-05-20	26.2233675
2014-05-21	23.2561088
2014-05-22	24.07387
2014-05-23	33.0406787
2014-05-24	29.4848908
2014-05-25	22.0745075
2014-05-26	20.22528
2014-05-27	18.2043852
2014-05-28	17.5787968
2014-05-29	20.9469548
2014-05-30	18.8539952
2014-05-31	16.97723
2014-06-01	20.22528
2014-06-02	29.4848908
2014-06-03	24.07387
2014-06-04	21.6926512
2014-06-05	20.22528
2014-06-06	30.9727675
2014-06-07	38.0447948
2014-06-08	24.07387
2014-06-09	20.5831147
2014-06-10	22.4623692
2014-06-11	22.8562363
2014-06-12	19.5276268
2014-06-13	18.2043852
2014-06-14	20.5831147
2014-06-15	27.5851308
2014-06-16	22.4623692
2014-06-17	20.22528
2014-06-18	19.1878083
2014-06-19	18.2043852
2014-06-20	17.2750107
2014-06-21	16.1199203
2014-06-22	15.3166592
2014-06-23	15.0609163
2014-06-24	15.5784075
2014-06-25	31.9947123
2014-06-26	31.4807372
2014-06-27	21.6926512
2014-06-28	18.2043852
2014-06-29	16.97723
2014-06-30	15.8461612
2014-07-01	15.0609163
2014-07-02	14.32972
2014-07-03	13.6525723
2014-07-04	13.6525723
2014-07-05	13.0294732
2014-07-06	13.4388672
2014-07-07	20.9469548
2014-07-08	34.6546688
2014-07-09	20.5831147
2014-07-10	16.97723
2014-07-11	15.8461612
2014-07-12	14.5674467
