datetime	caudal
2013-03-06	36.69
2013-03-07	26.27
2013-03-08	23.82
2013-03-09	33.01
2013-03-10	34.24
2013-03-11	29.95
2013-03-12	25.04
2013-03-13	22.59
2013-03-14	23.82
2013-03-15	25.66
2013-03-16	25.04
2013-03-17	26.27
2013-03-18	31.78
2013-03-19	33.62
2013-03-20	25.66
2013-03-21	25.04
2013-03-22	21.98
2013-03-23	25.66
2013-03-24	22.59
2013-03-25	20.14
2013-03-26	20.14
2013-03-27	20.75
2013-03-28	20.14
2013-03-29	23.82
2013-03-30	33.62
2013-03-31	47.10
2013-04-01	45.26
2013-04-02	36.07
2013-04-03	31.17
2013-04-04	33.62
2013-04-05	33.01
2013-04-06	23.82
2013-04-07	23.82
2013-04-08	29.33
2013-04-09	34.24
2013-04-10	26.27
2013-04-11	21.98
2013-04-12	20.14
2013-04-13	27.50
2013-04-14	27.50
2013-04-15	34.24
2013-04-16	36.69
2013-04-17	34.24
2013-04-18	32.40
2013-04-19	31.78
2013-04-21	29.33
2013-04-22	23.21
2013-04-23	21.37
2013-04-24	21.98
2013-04-25	20.14
2013-04-26	18.30
2013-04-27	17.69
2013-04-28	17.08
2013-04-29	16.47
2013-04-30	17.08
2013-05-01	16.47
2013-05-02	17.69
2013-05-03	18.30
2013-05-04	17.69
2013-05-05	22.59
2013-05-06	33.62
2013-05-07	49.55
2013-05-08	33.01
2013-05-09	29.33
2013-05-10	25.04
2013-05-11	21.98
2013-05-12	21.37
2013-05-13	18.92
2013-05-14	29.95
2013-05-15	34.85
2013-05-16	31.17
2013-05-17	27.50
2013-05-18	33.01
2013-05-19	43.43
2013-05-20	48.33
2013-05-22	36.69
2013-05-23	25.66
2013-05-24	26.88
2013-05-25	26.27
2013-05-26	29.33
2013-05-27	26.88
2013-05-28	23.82
2013-05-29	21.98
2013-05-30	25.04
2013-05-31	34.24
2013-06-01	44.04
2013-06-02	39.14
2013-06-03	46.49
2013-06-04	39.75
2013-06-05	49.55
2013-06-06	38.52
2013-06-16	42.20
2013-06-17	37.30
2013-06-21	48.94
2013-06-22	35.46
2013-06-23	42.20
2013-06-24	48.33
2013-06-25	36.69
2013-06-26	29.95
2013-06-27	28.11
2013-06-28	26.88
2013-06-29	25.04
2013-06-30	29.33
2013-07-01	45.26
2013-07-02	30.56
2013-07-03	29.33
2013-07-04	28.72
2013-07-05	25.04
2013-07-06	28.11
2013-07-10	50.78
2013-07-11	31.17
2013-07-12	33.62
2013-07-14	44.04
2013-07-19	44.65
2013-07-20	39.14
2013-07-21	47.72
2013-07-22	39.14
2013-07-23	33.01
2013-07-24	39.14
2013-07-26	47.10
2013-07-27	25.66
2013-07-28	21.37
2013-07-29	25.66
2013-07-30	38.52
2013-08-04	42.20
2013-08-05	36.69
2013-08-08	37.91
2013-08-09	26.27
2013-08-10	23.21
2013-08-11	26.27
2013-08-12	26.27
2013-08-13	20.75
2013-08-14	34.24
2013-08-15	45.88
2013-08-16	42.81
2013-08-17	32.40
2013-08-18	29.95
2013-08-19	22.59
2013-08-20	19.53
2013-08-21	30.56
2013-08-22	39.75
2013-08-23	22.59
2013-08-24	18.92
2013-08-25	18.30
2013-08-26	20.14
2013-08-27	36.69
2013-08-29	38.52
2013-08-30	21.37
2013-08-31	17.69
2013-09-01	17.08
2013-09-02	15.85
2013-09-03	14.63
2013-09-04	14.01
2013-09-05	15.85
2013-09-06	20.14
2013-09-07	15.24
2013-09-08	20.75
2013-09-09	46.49
2013-09-11	38.52
2013-09-12	21.98
2013-09-13	18.30
2013-09-14	15.85
2013-09-15	16.47
2013-09-16	45.26
2013-09-17	28.11
2013-09-18	24.43
2013-09-20	37.30
2013-09-21	21.37
2013-09-22	17.08
2013-09-23	36.07
2013-09-25	31.78
2013-09-26	27.50
2013-09-27	22.59
2013-09-28	17.69
2013-09-29	18.92
2013-09-30	20.14
2013-10-01	16.47
2013-10-02	14.63
2013-10-03	14.63
2013-10-04	16.47
2013-10-05	18.30
2013-10-06	42.20
2013-10-07	26.88
2013-10-08	23.82
2013-10-09	33.01
2013-10-10	25.66
2013-10-11	18.30
2013-10-12	15.24
2013-10-13	15.85
2013-10-14	26.88
2013-10-15	44.65
2013-10-16	41.59
2013-10-17	31.78
2013-10-18	23.82
2013-10-19	17.69
2013-10-20	25.04
2013-10-21	18.30
2013-10-22	17.08
