comid;latitude;longitude;river;location1;location2
9019828;1.2448;-78.88538;;ESMERALDAS;SAN LORENZO
9019864;1.33217;-78.6915;;;
9019981;1.23703;-78.53488;;;
9019982;1.18486;-78.49713;;ESMERALDAS;SAN LORENZO
9020005;1.19144;-78.72321;Quebrada G;ESMERALDAS;SAN LORENZO
9020015;1.17529;-78.7293;Rio Tululb;ESMERALDAS;SAN LORENZO
9020032;1.1953;-78.92034;;;
9020123;1.16651;-78.67721;Rio Palavi;ESMERALDAS;SAN LORENZO
9020126;1.17439;-78.44604;;CARCHI;TULCAN
9020173;1.15985;-78.75776;Rio Tululb;ESMERALDAS;SAN LORENZO
9020258;1.13515;-78.68966;Rio Tululb;ESMERALDAS;SAN LORENZO
9020260;1.1525;-78.96077;;ESMERALDAS;ELOY ALFAR
9020312;1.10186;-78.72934;Rio Bogota;ESMERALDAS;SAN LORENZO
9020319;1.0762;-78.8944;;ESMERALDAS;SAN LORENZO
9020332;1.07723;-78.94368;Rio Santia;ESMERALDAS;SAN LORENZO
9020344;1.07278;-79.21623;Estero Vai;ESMERALDAS;RIOVERDE
9020357;1.09378;-78.80316;Rio Bogota;ESMERALDAS;SAN LORENZO
9020411;1.0578;-78.86678;Rio Santia;ESMERALDAS;SAN LORENZO
9020412;1.05087;-78.82326;Rio Bogota;ESMERALDAS;SAN LORENZO
9020496;1.03151;-78.82985;Rio Santia;ESMERALDAS;SAN LORENZO
9020508;1.04364;-79.26558;Rio Lagart;ESMERALDAS;RIOVERDE
9020518;1.07764;-78.46847;Rio Camumb;CARCHI;TULCAN
9020565;1.04168;-79.0044;Rio Cayapa;ESMERALDAS;ELOY ALFAR
9020617;1.02677;-78.7369;Rio Cachav;ESMERALDAS;SAN LORENZO
9020680;1.01605;-79.31765;Rio Ostion;ESMERALDAS;RIOVERDE
9020705;1.09849;-78.28897;Rio San Ju;CARCHI;TULCAN
9020714;0.96491;-79.04507;Rio Onzole;ESMERALDAS;ELOY ALFAR
9020720;0.93839;-79.09217;Estero Tan;ESMERALDAS;ELOY ALFAR
9020721;0.97627;-78.78266;Rio Uimbi;ESMERALDAS;SAN LORENZO
9020722;0.93831;-78.1892;Rio Chical;CARCHI;TULCAN
9020728;1.04575;-78.33534;Rio Gualpi;CARCHI;TULCAN
9020731;1.00437;-79.42348;Rio Verde;ESMERALDAS;RIOVERDE
9020756;0.96903;-79.50537;Rio Colope;ESMERALDAS;ESMERALDAS
9020797;0.92141;-79.06538;Rio Onzole;ESMERALDAS;ELOY ALFAR
9020803;0.929;-78.13796;Rio San Ju;CARCHI;TULCAN
9020835;0.90027;-79.07795;Estero Isc;ESMERALDAS;ELOY ALFAR
9020855;0.89346;-78.06171;;;
9020874;0.90645;-79.40719;Rio Chonta;ESMERALDAS;RIOVERDE
9020876;1.01815;-78.51702;Rio Mira;CARCHI;TULCAN
9020899;0.87254;-79.84117;;ESMERALDAS;ATACAMES
9020907;0.86563;-79.84375;;;
9020924;0.91718;-78.98492;Rio Cayapa;ESMERALDAS;ELOY ALFAR
9020934;0.95768;-79.36726;Rio Mate;ESMERALDAS;RIOVERDE
9020941;0.8818;-78.64822;Rio Negro;ESMERALDAS;SAN LORENZO
9020974;0.84087;-78.65947;Rio Lachas;ESMERALDAS;SAN LORENZO
9020993;0.88182;-79.44003;Rio Verde;ESMERALDAS;RIOVERDE
9020995;0.83665;-77.69482;Rio Carchi;CARCHI;TULCAN
9020997;0.90179;-78.80451;Rio Santia;ESMERALDAS;SAN LORENZO
9020998;0.83577;-78.70595;Rio Negro;ESMERALDAS;SAN LORENZO
9021002;0.84058;-78.95004;Rio Cayapa;ESMERALDAS;ELOY ALFAR
9021003;0.8307;-78.92544;Estero Zap;ESMERALDAS;ELOY ALFAR
9021012;0.86235;-78.08453;Rio De La;CARCHI;TULCAN
9021015;0.88898;-79.69132;Rio Tiaone;ESMERALDAS;ESMERALDAS
9021041;0.82201;-77.67354;Rio Carchi;CARCHI;TULCAN
9021045;0.81385;-77.67135;Rio Chana;CARCHI;TULCAN
9021049;0.81905;-79.94319;;ESMERALDAS;ATACAMES
9021058;0.82959;-78.97629;Rio Camaro;ESMERALDAS;ELOY ALFAR
9021062;0.81546;-79.71674;Rio Tabiaz;ESMERALDAS;ESMERALDAS
9021064;0.83338;-77.77057;Rio Carchi;CARCHI;TULCAN
9021081;0.83816;-78.44873;Rio Lita;IMBABURA;IBARRA
9021088;0.81299;-78.92971;Rio Cayapa;ESMERALDAS;ELOY ALFAR
9021152;0.77599;-79.16176;Estero Gua;ESMERALDAS;ELOY ALFAR
9021163;0.78493;-78.88152;Estero Zap;ESMERALDAS;ELOY ALFAR
9021168;0.83118;-79.06623;Rio Onzole;ESMERALDAS;ELOY ALFAR
9021173;0.79941;-79.40479;Rio Verde;ESMERALDAS;RIOVERDE
9021174;0.78421;-79.12302;Rio Onzole;ESMERALDAS;ELOY ALFAR
9021183;0.8209;-78.35187;Rio Mira;CARCHI;MIRA
9021184;0.78443;-78.20479;Rio Blanco;CARCHI;ESPEJO
9021186;0.77714;-78.4212;Rio Verde;IMBABURA;IBARRA
9021191;0.75977;-79.3671;Rio Meribe;ESMERALDAS;RIOVERDE
9021212;0.77933;-78.45377;Rio Lita;IMBABURA;SAN MIGUEL
9021217;0.79706;-79.45555;Rio Chumun;ESMERALDAS;RIOVERDE
9021223;0.77397;-78.92984;Rio Cayapa;ESMERALDAS;ELOY ALFAR
9021236;0.81046;-79.85942;;ESMERALDAS;ATACAMES
9021237;0.8028;-77.77;Rio Bobo;CARCHI;TULCAN
9021289;0.74368;-78.23645;Rio Mira;IMBABURA;IBARRA
9021326;0.72001;-78.21815;Rio San Je;IMBABURA;IBARRA
9021329;0.7201;-78.20798;Rio Mira;CARCHI;MIRA
9021332;0.76679;-79.6956;Rio Tiaone;ESMERALDAS;ESMERALDAS
9021342;0.72884;-78.4582;Rio San Fr;IMBABURA;SAN MIGUEL
9021343;0.70983;-78.18586;Rio Plata;CARCHI;MIRA
9021352;0.73893;-79.16196;Rio Onzole;ESMERALDAS;ELOY ALFAR
9021365;0.73991;-79.0863;Rio Pambil;ESMERALDAS;ELOY ALFAR
9021378;0.70282;-79.69;Rio Huele;ESMERALDAS;ESMERALDAS
9021414;0.71633;-78.94541;Rio Cayapa;ESMERALDAS;ELOY ALFAR
9021459;0.67409;-78.95548;Rio Bravo;ESMERALDAS;ELOY ALFAR
9021465;0.68605;-78.1937;Rio Mira;CARCHI;MIRA
9021467;0.68981;-79.72379;Rio Tiaone;ESMERALDAS;ESMERALDAS
9021468;0.73945;-78.71242;Rio Santia;ESMERALDAS;SAN LORENZO
9021469;0.66331;-78.6666;Rio Puniya;ESMERALDAS;ELOY ALFAR
