basin;code;name;latitude;longitude;elevation;comid;river;location1;location2;alert
MIRA;H0011;MIRA EN LITA;0.875417;-78.450417;475;9021183;Mira;Carchi;Mira;R0
MIRA;H0013;BLANCO AJ MIRA;0.762482;-78.255874;890;9021184;Blanco;Imbabura;Ibarra;R0
MIRA;H0015;CHOTA EN PTE.CARRETERA;0.476689;-78.075339;1569;9022030;Chota;Carchi;Mira;R0
MIRA;H0016;APAQUI AJ CHOTA;0.439196;-77.940804;1715;9022137;Rumichaca;Carchi;Bolivar;R0
MIRA;H0017;APAQUI D GRUTA LA PAZ #3;0.497577;-77.849086;2323;9022137;Rumichaca;Carchi;Montufar;R0
MIRA;H0018;YAIL AJ APAQUI;0.492083;-77.855417;2500;9022137;Rumichaca;Carchi;Montufar;R0
MIRA;H0022;SAN GABRIEL EN PTE.CARRETERA;0.57557;-77.826378;2850;9021926;San Gabriel;Carchi;Montufar;R0
MIRA;H0023;AMBI DJ CARIYACU;0.372917;-78.214583;2015;9022305;Ambi;Imbabura;San Miguel De Urcuqui;R0
MIRA;H0024;BLANCO EN PTE.CARRETERA;0.250832;-78.300832;2573;9022698;Blanco;Imbabura;Otavalo;R0
MIRA;H0026;ITAMBI EN L.S.PABLO;0.201636;-78.209575;2648;9022897;Jatunyacu;Imbabura;Otavalo;R0
MIRA;H0045;APAQUI DJ MINAS;0.5368;-77.7832;2650;9021927;Rumichaca;Carchi;Montufar;R0
MIRA;H0064;EL ANGEL EN PTE.AYORA;0.626861;-77.950417;2850;9022031;El Angel;Carchi;Espejo;R0
CARCHI;H0091;GRANDE AJ JATIVA;0.804167;-77.846111;3120;9021064;Grande;Carchi;Tulcan;R0
CARCHI;H0093;BOBO EN PLTA.ELEC.TULCAN;0.81375;-77.749013;2880;9021237;Bobo;Carchi;Tulcan;R0
ESMERALDAS;H0136;ALAMBI EN CHURUPAMBA;0.150418;-78.680417;920;9023111;Alambi;Pichincha;Distrito Metropolitano De Quito;R0
ESMERALDAS;H0138;BLANCO D.J. TOACHI(PTE.UNICOOP);-0.087924;-79.280403;284;9023841;Blanco;Santo Domingo;Santo Domingo;R0
ESMERALDAS;H0139;BLANCO EN LOS BANCOS;0.007088;-78.904788;795;9023794;Blanco;Pichincha;San Miguel De Los Bancos;R0
ESMERALDAS;H0141;CANAL TABACUNDO;0.149722;-78.023333;0;9023321;Tabacundo;Pichincha;Cayambe;R0
ESMERALDAS;H0143;GRANOBLES AJ GUACHALA;0.014166;-78.172917;2750;9023477;Granobles;Pichincha;Pedro Moncayo;R0
ESMERALDAS;H0144;GUACHALA AJ GRANOBLES;0.009601;-78.158284;2740;9023553;Guachala;Pichincha;Cayambe;R0
ESMERALDAS;H0145;GUAYLLABAMBA DJ CUBI;0.092975;-78.429573;1540;9023398;Guayllabamba;Pichincha;Distrito Metropolitano De Quito;R0
ESMERALDAS;H0146;GUAYLLABAMBA DJ ALAMBI;0.235415;-78.743751;625;9022789;Guayllabamba;Imbabura;Cotacachi;R0
